,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plus,Plus,Plus,Plus,calculated,plus,calculated,Plus,calculated,plus,Plus,Calculated,Plus,Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2025 1:18:59,Yes,Absolutely,Yes,17-20 hours,,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,No,4,No,1,2,4,Yes,No,Yes,Yes,Yes,3,2,Yes,3,Yes,8,CAT,"car, table, chair",1,3,3,4,5,5,3,3,4,2,4,1,5,3,3,1,4,Yes,3,No,I am mostly positive,Ambivert,Yes,Yes,I want to but I feel burnt out from too much interaction,2,1,No,Yes,1,No,No,No,No,2,No,1,No,No,4,5-8 hours,3.7-4.0,2,1,No,"Failure is the pillar of success. Next time, I will surely make it","Yes, I am happy with my academics. No regrets.",I am not sure,28,High Percieved Stress
12/22/2025 1:31:40,No,Absolutely,Yes,1-4 hours,,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,No,3,Yes,5,5,5,Yes,No,Yes,Yes,Yes,4,5,Yes,5,Yes,8,"CAR, CAT, TABLE, CHAIR","car, cat, table, chair",1,1,5,5,5,5,1,5,1,5,5,1,5,1,5,5,5,Yes,4,Yes,I am just negative,Introvert,Yes,Yes,"Sometimes, depends on my mood",5,5,Yes,No,1,No,Yes,Yes,Yes,5,Yes,5,Yes,Yes,5,1-4 hours,Less than 2.0,5,5,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",No,28,High Percieved Stress
12/22/2025 2:51:50,No,Absolutely,Yes,9-12 hours,,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Yes,3,Yes,2,2,4,Yes,Yes,Yes,Yes,Yes,3,2,Yes,4,Yes,7,CAT,chair,2,3,4,4,3,5,5,1,3,3,5,3,3,4,2,3,4,No,5,Yes,I am just negative,Introvert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I genuinely want to be left alone. I like it this way,2,1,No,Yes,5,Yes,Yes,Yes,Yes,5,No,2,No,No,2,5-8 hours,3.3-3.7,4,3,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",I am not sure,29,High Percieved Stress
12/25/2025 1:39:17,No,Absolutely,Yes,5-8 hours,Yes,"PC, Mobile (phone or tablet)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,No,4,No,4,1,3,No,No,Yes,Yes,Yes,3,1,Yes,4,Yes,6,CAR,cat,1,1,4,4,4,4,5,1,5,1,4,5,1,4,2,4,4,Yes,4,No,I keep myself prepared by considering negative alternatives,Ambivert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I am awkward and I don't know how to engage with people,3,3,Yes,No,1,No,Yes,No,Yes,4,Yes,4,Yes,No,1,17-20 hours,3.3-3.7,5,5,Yes,I am just not good at it,"No, I need to do better",No,29,High Percieved Stress
12/25/2025 7:35:12,No,Maybe,Yes,9-12 hours,"No, I mostly play alone",Mobile (phone or tablet),"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games) - Age of Empires",No,Sometimes,4,No,1,4,5,No,Yes,Yes,Yes,Yes,1,4,No,5,Yes,6,CHAIR,table,2,2,4,4,5,5,4,2,4,2,5,4,2,5,1,1,4,No,3,Yes,I am mostly positive,Introvert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I genuinely want to be left alone. I like it this way,1,1,No,Yes,4,Yes,No,No,Yes,4,No,3,No,No,2,1-4 hours,2.0-2.3,5,1,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",I am not sure,29,High Percieved Stress
12/22/2025 2:42:31,No,Absolutely,Yes,1-4 hours,,"PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",No,Yes,3,No,3,4,4,Yes,Yes,Yes,Yes,Yes,1,2,Yes,5,Yes,7,CAT,table,1,2,4,4,4,5,4,2,3,3,4,3,3,4,2,5,4,No,4,No,I am just negative,Ambivert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","Sometimes, depends on my mood",4,3,No,No,2,Yes,Yes,Yes,Yes,4,Yes,4,No,No,3,More than 24 hours,3.7-4.0,4,4,Yes,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"No, I need to do better",No,30,High Percieved Stress
12/22/2025 19:36:38,No,Absolutely,Yes,9-12 hours,Yes,PC,"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Sometimes,3,Sometimes,3,2,5,Yes,No,Yes,Yes,No,1,2,No,2,Yes,7,CAT,"car, table, chair",2,3,5,5,5,5,4,2,5,1,1,4,2,3,3,5,5,Yes,4,Yes,I keep myself prepared by considering negative alternatives,Ambivert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I am awkward and I don't know how to engage with people,2,1,Yes,Yes,5,Yes,Yes,No,No,4,Yes,3,No,Yes,2,1-4 hours,Less than 2.0,5,3,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",No,30,High Percieved Stress
12/24/2025 13:13:12,Yes,Absolutely,Yes,More than 24 hours,"No, I mostly play alone","PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,No,3,Yes,3,3,3,Yes,No,Yes,No,Yes,2,1,No,2,Yes,8,CAT,chair,2,3,5,5,5,5,4,2,5,1,2,5,1,5,1,4,4,Yes,4,Yes,I keep myself prepared by considering negative alternatives,Ambivert,No,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I genuinely want to be left alone. I like it this way,5,1,Yes,Yes,2,Yes,Yes,Yes,Yes,5,No,4,Yes,Yes,3,9-12 hours,2.7-3.0,5,3,Sometimes,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"No, I need to do better",No,30,High Percieved Stress
12/22/2025 16:45:31,No,I am not sure,Yes,1-4 hours,"No, I mostly play alone",Mobile (phone or tablet),"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Sometimes,3,Yes,1,3,1,No,No,Yes,Yes,Yes,5,4,No,3,Yes,7,"CAR, CAT","table, chair",1,2,5,3,5,4,4,2,5,1,5,5,1,5,1,5,4,Yes,5,No,I keep myself prepared by considering negative alternatives,Ambivert,Yes,No,I want to but I feel burnt out from too much interaction,1,1,No,Yes,3,No,No,No,Yes,5,Yes,4,No,No,1,5-8 hours,3.0-3.3,5,1,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",No,31,High Percieved Stress
12/22/2025 22:24:31,No,Absolutely,Yes,1-4 hours,"No, I mostly play alone","PC, Mobile (phone or tablet)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Sometimes,5,No,4,3,2,No,No,Yes,Yes,Yes,3,5,Yes,5,Yes,6,"CAR, CAT, TABLE",chair,1,1,5,5,5,5,1,5,5,1,5,5,1,5,1,5,5,Yes,5,Yes,I keep myself prepared by considering negative alternatives,Ambivert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I want to but I feel burnt out from too much interaction,5,4,Yes,Yes,4,Yes,No,No,Yes,5,No,5,Yes,Yes,1,1-4 hours,2.3-2.7,5,1,Yes,I am just not good at it,"No, I need to do better",No,32,High Percieved Stress
12/24/2025 14:07:57,No,Absolutely,Yes,21-24 hours,"No, I mostly play alone",PC,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,4,Sometimes,2,3,4,Yes,No,Yes,Yes,Yes,2,1,Yes,2,Yes,8,CAT,chair,2,1,5,5,4,5,3,3,4,2,5,4,2,4,2,5,5,Yes,2,No,I am just negative,Introvert,Yes,Yes,I want to but I feel burnt out from too much interaction,2,4,Yes,Yes,1,Yes,No,No,No,4,Yes,5,Yes,Yes,5,17-20 hours,3.7-4.0,4,2,Yes,I don't understand what happened. I tried my best and did everything. I feel hopeless.,"No, I need to do better",No,32,High Percieved Stress
12/25/2025 16:01:09,No,Absolutely,Yes,17-20 hours,Yes,Mobile (phone or tablet),"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Sometimes,4,Sometimes,2,2,1,Yes,No,No,No,No,1,2,No,3,Yes,8,CAT,"car, chair",2,1,4,5,5,5,1,5,5,1,2,1,5,5,1,5,4,No,5,Yes,I keep myself prepared by considering negative alternatives,Ambivert,No,Yes,"No, I love interacting with people",2,1,No,Yes,2,Yes,No,No,No,2,No,1,No,No,4,21-24 hours,3.3-3.7,3,5,No,"Failure is the pillar of success. Next time, I will surely make it","No, I need to do better",Yes,32,High Percieved Stress
12/24/2025 16:15:56,No,Absolutely,Yes,9-12 hours,"No, I mostly play alone","PC, Mobile (phone or tablet)","Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Sometimes,4,Sometimes,1,2,3,No,Yes,Yes,Yes,No,2,4,Yes,5,Yes,8,CAR,"cat, chair",0,3,4,5,5,5,5,1,4,2,5,4,2,2,4,5,5,Yes,5,Yes,I am just negative,Introvert,Yes,No,I am awkward and I don't know how to engage with people,4,3,No,Yes,4,Yes,Yes,Yes,Yes,5,Yes,5,Yes,No,1,13-16 hours,2.0-2.3,5,3,Yes,I am just not good at it,"No, I need to do better",No,33,High Percieved Stress
12/29/2025 18:04:43,No,Absolutely,Yes,1-4 hours,"No, I mostly play alone",PC,"Strategic / Thinking-based games (e.g., strategy, puzzle, simulation, planning-focused games), Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games) - Stardew Valley",Yes,Yes,3,Yes,3,5,4,Yes,Yes,Yes,Yes,Yes,2,1,No,4,Yes,7,"TABLE, CHAIR",cat,1,0,4,5,4,5,4,2,4,2,5,1,5,2,4,5,5,Yes,5,Yes,I keep myself prepared by considering negative alternatives,Extrovert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty","No, I love interacting with people",5,2,Yes,Yes,5,Yes,Yes,Yes,Yes,2,No,4,Yes,Yes,4,13-16 hours,3.3-3.7,2,1,Sometimes,I am just not good at it,"No, I need to do better",No,34,High Percieved Stress
12/22/2025 1:57:52,Yes,Absolutely,Yes,5-8 hours,,PC,"Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Yes,4,Yes,4,4,2,Yes,No,Yes,Yes,Yes,2,5,Yes,5,Yes,7,"CAR, CAT","table, chair",2,2,5,5,5,5,4,2,5,1,5,4,2,4,2,5,5,No,5,Yes,I keep myself prepared by considering negative alternatives,Introvert,Yes,"I would try to find a friend or someone else who can help me. If no one can solve my problem, then I will go to my faculty",I want to but I feel burnt out from too much interaction,5,2,Yes,Yes,5,Yes,No,No,Yes,5,Yes,5,Yes,Yes,1,9-12 hours,2.3-2.7,5,1,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",No,35,High Percieved Stress
12/24/2025 19:42:32,Yes,Absolutely,Yes,9-12 hours,"No, I mostly play alone","PC, Mobile (phone or tablet)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games), Relaxed / Casual games (e.g., casual, story-based, creative, or low-pressure games)","Action / Combat-focused games (e.g., shooter, fighting, fast-paced action games) - CS 2, Valorant,  Dark Souls",Yes,Yes,2,Sometimes,4,4,4,Yes,Yes,Yes,Yes,Yes,1,4,Yes,4,No,5,CAT,chair,1,2,4,5,5,5,4,2,5,1,5,1,5,4,2,4,3,Yes,5,Yes,I keep myself prepared by considering negative alternatives,Introvert,Yes,No,I genuinely want to be left alone. I like it this way,1,3,No,Yes,3,Yes,No,Yes,Yes,5,Yes,3,No,No,2,1-4 hours,3.0-3.3,5,2,Yes,I didn't try hard enough. I could've achieve it if I tried more,"No, I need to do better",Yes,35,High Percieved Stress